fjord_width,groundingline_depth,basalfric_law,background_friccoef
1200,100,1,1e+09
3600,100,1,1e+09
7200,100,1,1e+09
1200,250,1,1e+09
3600,250,1,1e+09
7200,250,1,1e+09
1200,500,1,1e+09
3600,500,1,1e+09
7200,500,1,1e+09
1200,100,3,1e+09
3600,100,3,1e+09
7200,100,3,1e+09
1200,250,3,1e+09
3600,250,3,1e+09
7200,250,3,1e+09
1200,500,3,1e+09
3600,500,3,1e+09
7200,500,3,1e+09
1200,100,1,1e+10
3600,100,1,1e+10
7200,100,1,1e+10
1200,250,1,1e+10
3600,250,1,1e+10
7200,250,1,1e+10
1200,500,1,1e+10
3600,500,1,1e+10
7200,500,1,1e+10
1200,100,3,1e+10
3600,100,3,1e+10
7200,100,3,1e+10
1200,250,3,1e+10
3600,250,3,1e+10
7200,250,3,1e+10
1200,500,3,1e+10
3600,500,3,1e+10
7200,500,3,1e+10
1200,100,1,1e+11
3600,100,1,1e+11
7200,100,1,1e+11
1200,250,1,1e+11
3600,250,1,1e+11
7200,250,1,1e+11
1200,500,1,1e+11
3600,500,1,1e+11
7200,500,1,1e+11
1200,100,3,1e+11
3600,100,3,1e+11
7200,100,3,1e+11
1200,250,3,1e+11
3600,250,3,1e+11
7200,250,3,1e+11
1200,500,3,1e+11
3600,500,3,1e+11
7200,500,3,1e+11
